Feature name	Feature description	Feature name paper	Feature ID	Feature type	Feature variation	Phenotype1	Description phenotype 1	Phenotype2	Description phenotype 2	Tissue	Tissue description	Experimental	Method	Interaction observed	Name interactive feature	ID interactive feature	Type interactive feature	Organism	Population	T.cruzi strain	Paper PMID	Paper DOI	Paper title	Paper publication date
Edn1	endothelin 1 [Source:RGD Symbol;Acc:2532]	Endothelin-1	ENSRNOG00000014361	Protein		Acute	5 dpi	Acute		Plasma		No	Correlation	No	CX3CL1		Protein	Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Edn1	endothelin 1 [Source:RGD Symbol;Acc:2532]	Endothelin-1	ENSRNOG00000014361	Protein	UP	Acute	5 dpi	Healthy		Plasma		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Edn1	endothelin 1 [Source:RGD Symbol;Acc:2532]	Endothelin-1	ENSRNOG00000014361	Protein	UP	Acute	5 dpi	Healthy		Heart		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Gsk3b	glycogen synthase kinase 3 beta [Source:MGI Symbol;Acc:MGI:1861437]	p-GSK-3Î²	ENSMUSG00000022812	Protein	DOWN	Acute	2 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Gsk3b	glycogen synthase kinase 3 beta [Source:MGI Symbol;Acc:MGI:1861437]	p-GSK-3Î²	ENSMUSG00000022812	Protein	DOWN	Acute	3 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Gsk3b	glycogen synthase kinase 3 beta [Source:MGI Symbol;Acc:MGI:1861437]	p-GSK-3Î²	ENSMUSG00000022812	Protein	DOWN	Acute	6 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	UP	Acute	30 dpi	Healthy		Colon		Yes	ELISA	No				Mus musculus	C57Bl/6	Colombia	35069009	10.1155/2022/7641357	The Colombian Strain of Trypanosoma cruzi Induces a Proinflammatory Profile, Neuronal Death, and Collagen Deposition in the Intestine of C57BL/6 Mice Both during the Acute and Early Chronic Phase	2022
Ifng	interferon gamma [Source:MGI Symbol;Acc:MGI:107656]	IFN-Î³	ENSMUSG00000055170	Protein	UP	Chronic	90 dpi	Healthy		Colon		Yes	ELISA	No				Mus musculus	C57Bl/6	Colombia	35069009	10.1155/2022/7641357	The Colombian Strain of Trypanosoma cruzi Induces a Proinflammatory Profile, Neuronal Death, and Collagen Deposition in the Intestine of C57BL/6 Mice Both during the Acute and Early Chronic Phase	2022
Il10	interleukin 10 [Source:MGI Symbol;Acc:MGI:96537]	IL-10	ENSMUSG00000016529	Protein	UP	Chronic	90 dpi	Acute	30 dpi	Colon		Yes	ELISA	No				Mus musculus	C57Bl/6	Colombia	35069009	10.1155/2022/7641357	The Colombian Strain of Trypanosoma cruzi Induces a Proinflammatory Profile, Neuronal Death, and Collagen Deposition in the Intestine of C57BL/6 Mice Both during the Acute and Early Chronic Phase	2022
IL12A	interleukin 12A	IL-12	ENSG00000168811	Protein	UP	Severe cardiac	LVEF < 35%	Moderate cardiac	LVEF > 35%	Serum		Yes	ELISA	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
IL6	interleukin 6	Il-6	ENSG00000136244	Protein	UP	Cardiac	RV dilation	Cardiac	No RV dilation	Serum		Yes	ELISA	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
MMP2	matrix metallopeptidase 2	MMP-2	ENSG00000087245	Protein	UP	Cardiac		Healthy		Heart	Left ventricule	Yes	Western blot	No				Homo sapiens	Brazil		35372112	10.3389/fcimb.2022.836242	Matrix Metalloproteinase 2 and 9 Enzymatic Activities are Selectively Increased in the Myocardium of Chronic Chagas Disease Cardiomyopathy Patients: Role of TIMPs	2022
MMP2	matrix metallopeptidase 2	MMP-2	ENSG00000087245	Protein activity	UP	Cardiac		Healthy		Heart	Left ventricule	Yes	Gelatin zymography	No				Homo sapiens	Brazil		35372112	10.3389/fcimb.2022.836242	Matrix Metalloproteinase 2 and 9 Enzymatic Activities are Selectively Increased in the Myocardium of Chronic Chagas Disease Cardiomyopathy Patients: Role of TIMPs	2022
MMP9	matrix metallopeptidase 9	MMP-9	ENSG00000100985	Protein	UP	Cardiac		Healthy		Heart	Left ventricule	Yes	Western blot	No				Homo sapiens	Brazil		35372112	10.3389/fcimb.2022.836242	Matrix Metalloproteinase 2 and 9 Enzymatic Activities are Selectively Increased in the Myocardium of Chronic Chagas Disease Cardiomyopathy Patients: Role of TIMPs	2022
MUC16	mucin 16, cell surface associated	Ca-125	ENSG00000181143	Protein	UP	Cardiac	RV dilation	Cardiac	No RV dilation	Serum		Yes	Routine laboratory workup	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
MUC16	mucin 16, cell surface associated	Ca-125	ENSG00000181143	Protein	UP	Severe cardiac	LVEF < 35%	Moderate cardiac	LVEF > 35%	Serum		Yes	Routine laboratory workup	No				Homo sapiens	Brazil		36014020	10.3390/microorganisms10081602	Biomakers in Chronic Chagas Cardiomyopathy	2022
PTX3	pentraxin 3	PTX3	ENSG00000163661	Protein		Chronic		Chronic		Serum		No	Correlation	Yes	MASP1	ENSG00000127241	Protein	Homo sapiens	Brazil		36166216	10.1080/08820139.2022.2110503	MASP1 Gene Polymorphism and MASP-3 Serum Levels in Patients with Chronic Chagas Disease	2022
Tnf	tumor necrosis factor [Source:RGD Symbol;Acc:3876]	TNF	ENSRNOG00000070745	Protein		Acute	5 dpi	Acute		Plasma		No	Correlation	No	CX3CL1		Protein	Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Tnf	tumor necrosis factor [Source:RGD Symbol;Acc:3876]	TNF	ENSRNOG00000070745	Protein		Acute	5 dpi	Acute		Plasma		No	Correlation	No	Endothelin-1		Protein	Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	TNF-Î±	ENSMUSG00000024401	Protein	UP	Acute	30 dpi	Healthy		Colon		Yes	ELISA	No				Mus musculus	C57Bl/6	Colombia	35069009	10.1155/2022/7641357	The Colombian Strain of Trypanosoma cruzi Induces a Proinflammatory Profile, Neuronal Death, and Collagen Deposition in the Intestine of C57BL/6 Mice Both during the Acute and Early Chronic Phase	2022
Tnf	tumor necrosis factor [Source:RGD Symbol;Acc:3876]	TNF	ENSRNOG00000070745	Protein	UP	Acute	5 dpi	Healthy		Plasma		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Tnf	tumor necrosis factor [Source:RGD Symbol;Acc:3876]	TNF	ENSRNOG00000070745	Protein	UP	Acute	5 dpi	Healthy		Heart		Yes	Enzymatic immunoassay	No				Rattus norvegicus	Fisher	Y strain	34929405	10.1016/j.parint.2021.102530	Insights into CX3CL1/Fractalkine during experimental Trypanosoma cruzi infection	2022
Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	TNF-Î±	ENSMUSG00000024401	Protein	UP	Chronic	90 dpi	Healthy		Colon		Yes	ELISA	No				Mus musculus	C57Bl/6	Colombia	35069009	10.1155/2022/7641357	The Colombian Strain of Trypanosoma cruzi Induces a Proinflammatory Profile, Neuronal Death, and Collagen Deposition in the Intestine of C57BL/6 Mice Both during the Acute and Early Chronic Phase	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein		Chagas		Chagas		Blood		No	Correlation	Yes	TNF	ENSG00000232810	RNA	Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein	UP	Indeterminate		Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein	UP	Moderate cardiac	LVEF >= 45%	Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein	UP	Severe cardiac	LVEF < 45%	Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein		Indeterminate		Indeterminate		Blood		No	Correlation	Yes	TNF	ENSG00000232810	RNA	Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein		Indeterminate		Indeterminate		Blood		No	Correlation	Yes	TNFRSF1B	ENSG00000028137	RNA	Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein		Moderate cardiac	LVEF >= 45%	Moderate cardiac		Blood		No	Correlation	Yes	TNFRSF1B	ENSG00000028137	RNA	Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1A	TNF receptor superfamily member 1A	sTNFR1	ENSG00000067182	Protein		Severe cardiac	LVEF < 45%	Severe cardiac		Blood		No	Correlation	Yes	TNFRSF1B	ENSG00000028137	RNA	Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1B	TNF receptor superfamily member 1B	sTNFR2	ENSG00000028137	Protein	UP	Indeterminate		Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1B	TNF receptor superfamily member 1B	sTNFR2	ENSG00000028137	Protein	UP	Moderate cardiac	LVEF >= 45%	Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
TNFRSF1B	TNF receptor superfamily member 1B	sTNFR2	ENSG00000028137	Protein	UP	Severe cardiac	LVEF < 45%	Healthy		Blood		Yes	Cytometric bead array	No				Homo sapiens	Brazil		34936965	10.1016/j.imbio.2021.152166	Is a negative correlation between sTNFR1 and TNF in patients with chronic Chagas disease the key to clinical progression?	2022
Wnt5a	wingless-type MMTV integration site family, member 5A [Source:MGI Symbol;Acc:MGI:98958]	Wnt-5a	ENSMUSG00000021994	Protein	DOWN	Acute	1 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Wnt5a	wingless-type MMTV integration site family, member 5A [Source:MGI Symbol;Acc:MGI:98958]	Wnt-5a	ENSMUSG00000021994	Protein	DOWN	Acute	2 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Wnt5a	wingless-type MMTV integration site family, member 5A [Source:MGI Symbol;Acc:MGI:98958]	Wnt-5a	ENSMUSG00000021994	Protein	DOWN	Acute	3 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Wnt5a	wingless-type MMTV integration site family, member 5A [Source:MGI Symbol;Acc:MGI:98958]	Wnt-5a	ENSMUSG00000021994	Protein	DOWN	Acute	6 hpi	Healthy		Heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
Yap1	yes-associated protein 1 [Source:MGI Symbol;Acc:MGI:103262]	YAP	ENSMUSG00000053110	Protein	DOWN	Acute	3 hpi	Healthy		Nuclear of heart endothelia cell	Cell culture	Yes	Immunoblotting assay	No				Mus musculus		Tulahuen	34986160	10.1371/journal.pntd.0010074	Thrombospondin-1 expression and modulation of Wnt and hippo signaling pathways during the early phase of Trypanosoma cruzi infection of heart endothelial cells	2022
AARS1	alanyl-tRNA synthetase 1	SYAC	ENSG00000090861	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACAA2	acetyl-CoA acyltransferase 2	THIM	ENSG00000167315	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACADM	acyl-CoA dehydrogenase medium chain	ACADM	ENSG00000117054	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACADVL	acyl-CoA dehydrogenase very long chain	ACADVL	ENSG00000072778	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACADVL	acyl-CoA dehydrogenase very long chain	ACADVL	ENSG00000072778	Protein	DOWN	Cardiac		Healthy		Heart		Yes	Immunoblot	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACAT1	acetyl-CoA acetyltransferase 1	THIL	ENSG00000075239	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACTA1	actin alpha 1, skeletal muscle	ACTA	ENSG00000143632	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACTC1	actin alpha cardiac muscle 1	ACTC	ENSG00000159251	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACTN2	actinin alpha 2	ACTN2	ENSG00000077522	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ACTR3	actin related protein 3	ARP3	ENSG00000115091	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
Aif1	allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]	Iba-1	ENSMUSG00000024397	Protein	UP	Acute	7 dpi	Healthy		Spinal cord	Glial cells	Yes	Western blot	No				Mus musculus	C57BL/6	Y strain	33574810	10.3389/fimmu.2020.539086	Experimental Trypanosoma cruzi Infection Induces Pain in Mice Dependent on Early Spinal Cord Glial Cells and NFkB Activation and Cytokine Production	2021
Aif1	allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]	Iba-1	ENSMUSG00000024397	Protein	UP	Acute	14 dpi	Healthy		Spinal cord	Glial cells	Yes	Western blot	No				Mus musculus	C57BL/6	Y strain	33574810	10.3389/fimmu.2020.539086	Experimental Trypanosoma cruzi Infection Induces Pain in Mice Dependent on Early Spinal Cord Glial Cells and NFkB Activation and Cytokine Production	2021
Aif1	allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]	Iba-1	ENSMUSG00000024397	Protein	UP	Acute	21 dpi	Healthy		Spinal cord	Glial cells	Yes	Western blot	No				Mus musculus	C57BL/6	Y strain	33574810	10.3389/fimmu.2020.539086	Experimental Trypanosoma cruzi Infection Induces Pain in Mice Dependent on Early Spinal Cord Glial Cells and NFkB Activation and Cytokine Production	2021
Aif1	allograft inflammatory factor 1 [Source:MGI Symbol;Acc:MGI:1343098]	Iba-1	ENSMUSG00000024397	Protein	UP	Acute	28 dpi	Healthy		Spinal cord	Glial cells	Yes	Western blot	No				Mus musculus	C57BL/6	Y strain	33574810	10.3389/fimmu.2020.539086	Experimental Trypanosoma cruzi Infection Induces Pain in Mice Dependent on Early Spinal Cord Glial Cells and NFkB Activation and Cytokine Production	2021
AK1	adenylate kinase 1	KAD1	ENSG00000106992	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
AKT2	AKT serine/threonine kinase 2	AKT2	ENSG00000105221	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ALDH4A1	aldehyde dehydrogenase 4 family member A1	AL4A1	ENSG00000159423	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ALDOA	aldolase, fructose-bisphosphate A	ALDOA	ENSG00000149925	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ALDOC	aldolase, fructose-bisphosphate C	ALDOC	ENSG00000109107	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ANXA1	annexin A1	ANXA1	ENSG00000135046	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ANXA2	annexin A2	ANXA2	ENSG00000182718	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ANXA5	annexin A5	ANXA5	ENSG00000164111	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
APOA1	apolipoprotein A1	APOA1	ENSG00000118137	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ATP5PB	ATP synthase peripheral stalk-membrane subunit b	AT5F1	ENSG00000116459	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ATP5PD	ATP synthase peripheral stalk subunit d	ATP5H	ENSG00000167863	Protein	DOWN	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	ATPA	ENSG00000123472	Protein	UP	Cardiac		Healthy		Heart		Yes	DIGE	No				Homo sapiens	Brazil		34867990	10.3389/fimmu.2021.755782	Impairment of Multiple Mitochondrial Energy Metabolism Pathways in the Heart of Chagas Disease Cardiomyopathy Patients	2021
AVP	arginine vasopressin	Copeptin	ENSG00000101200	Protein	UP	Cardiac		Asymptomatic		Blood		Yes	ELISA	No				Homo sapiens	Argentina		34479416	10.1128/Spectrum.00364-21	Prognostic Performance of Peripheral Blood Biomarkers in Identifying Seropositive Individuals at Risk of Developing Clinically Symptomatic Chagas Cardiomyopathy	2021
